Statistic	a	b	c	d	NrSites	Estimate_Total	Estimate_Jackknife	StdErr_Jackknife	Z_score_Jackknife
FST	Adygei	Adygei			593124	0.0000	0.0000	0.0000	NaN
FST	Adygei	Balochi			593124	1.2789e-2	1.2789e-2	3.3572e-4	38.09517110646904
FST	Adygei	Basque			593124	1.8790e-2	1.8790e-2	4.0141e-4	46.810358341103225
FST	Adygei	BedouinA			593124	1.3017e-2	1.3017e-2	2.9647e-4	43.90737238689979
FST	Adygei	BedouinB			593124	3.3455e-2	3.3454e-2	5.7648e-4	58.03217592610529
FST	Adygei	Biaka			593124	0.1716	0.1716	1.2185e-3	140.85275693678508
FST	Adygei	Brahui			593124	1.4644e-2	1.4644e-2	3.4481e-4	42.46989237781921
FST	Adygei	Burusho			593124	1.8566e-2	1.8566e-2	3.8156e-4	48.6573908240317
FST	Adygei	Druze			593124	1.2173e-2	1.2173e-2	2.6659e-4	45.65975464203526
FST	Adygei	French			593124	9.7730e-3	9.7730e-3	3.1627e-4	30.9006924987833
FST	Adygei	Han			593124	9.8759e-2	9.8759e-2	1.1973e-3	82.48660429503893
FST	Adygei	Hazara			593124	3.0725e-2	3.0726e-2	7.1478e-4	42.98629834431124
FST	Adygei	Italian_North			593124	8.6600e-3	8.6601e-3	2.7883e-4	31.058813893781032
FST	Adygei	Japanese			593124	0.1009	0.1009	1.1312e-3	89.20511642530036
FST	Adygei	Kalash			593124	3.7832e-2	3.7832e-2	7.2196e-4	52.40191396775766
FST	Adygei	Karitiana			593124	0.2010	0.2010	1.9950e-3	100.7641926875415
FST	Adygei	Makrani			593124	1.2942e-2	1.2942e-2	3.0774e-4	42.05538423716761
FST	Adygei	Mandenka			593124	0.1438	0.1438	1.0617e-3	135.42385393590882
FST	Adygei	Mayan			593124	0.1208	0.1208	1.5805e-3	76.42186703778276
FST	Adygei	Mozabite			593124	3.4153e-2	3.4153e-2	5.6354e-4	60.60455409343179
FST	Adygei	Orcadian			593124	1.3330e-2	1.3330e-2	4.0308e-4	33.06955305094536
FST	Adygei	Palestinian			593124	1.1925e-2	1.1925e-2	3.0012e-4	39.73444200461836
FST	Adygei	Papuan			593124	0.1844	0.1844	1.7977e-3	102.56993607565802
FST	Adygei	Pathan			593124	1.1873e-2	1.1873e-2	3.4713e-4	34.202794369023536
FST	Adygei	Pima			593124	0.1608	0.1608	1.8150e-3	88.61651340204932
FST	Adygei	Russian			593124	1.2314e-2	1.2314e-2	3.2758e-4	37.5921820094563
